location_name,sdi_value,sdi_group,high_quality_vr,total_rate,total_deaths,frontier_main,gap_main,avoid_main,frontier_hq,gap_hq,avoid_hq
Somalia,0.229019065,Low,FALSE,91.4200284293493,3763.233513410656,87.26773265128205,4.152295778067256,170.92598742399554,40.57759396486344,50.84243446448586,2092.8887965507715
Madagascar,0.379987683,Low,FALSE,85.38495007399052,3951.865863055463,62.39602898013241,22.988921093858117,1063.9946784599397,41.731396224940774,43.65355384904975,2020.4144771136082
Benin,0.40649626,Low,FALSE,127.27424587124843,2991.0354095195394,58.52216657125709,68.75207929999134,1615.7228216649291,41.93735234069403,85.33689353055439,2005.4777660713503
Haiti,0.463794706,Low-middle,FALSE,161.2029104425166,2654.4172423757896,50.52688853630449,110.67602190621213,1822.425786599984,42.38600735770205,118.81690308481456,1956.4760671395557
Zambia,0.505571537,Low-middle,FALSE,103.18439033796774,3331.9328820423357,45.0055846787519,58.17880565921584,1878.6550463589228,42.71614858276997,60.468241755197774,1952.5833545511935
South Africa,0.70261336,High-middle,FALSE,71.88079825326393,3756.189162157676,23.01165001336258,48.86914823990135,2553.696806980844,36.03038214362808,35.85041610963585,1873.3924458572985
Chad,0.239323301,Low,FALSE,86.58915510055937,3460.774496686694,85.37250812244982,1.2166469781095515,48.62665340044726,40.655321265389716,45.93383383516965,1835.8724078920197
Iran (Islamic Republic of),0.717585049,High-middle,FALSE,65.39589609688834,3657.3650727120407,21.732429078863657,43.663467018024676,2441.9458827912003,33.72551639027328,31.67037970661506,1771.2142120797935
Guinea,0.355150968,Low,FALSE,115.43263061091383,2703.713226823327,66.13592705853574,49.29670355237809,1154.6488088156896,41.53934737618989,73.89328323472395,1730.7605847478305
Uzbekistan,0.632090937,Middle,TRUE,78.9389507909612,3253.6114459337464,29.939376764630445,48.999574026330755,2019.605952454621,42.433422554887926,36.505528236073275,1504.641286951913
Malawi,0.409532838,Low,FALSE,91.11165550396295,2664.9400617783976,58.085754402400404,33.025901101562546,965.9801090767932,41.96100956526663,49.15064593869632,1437.6154697202305
Zimbabwe,0.491184885,Low-middle,FALSE,100.2824689986513,2204.34641710599,46.877939950550946,53.40452904810035,1173.9049052132534,42.602168847568926,57.68030015108237,1267.8922272779953
Burundi,0.307259853,Low,FALSE,94.09031118520127,2189.636708145762,73.6894661292072,20.40084505599407,474.76130803598045,41.17152295728165,52.91878822791962,1231.5074718625158
Morocco,0.612385219,Middle,FALSE,87.96291205680858,2304.143254390331,32.105472810500935,55.85743924630764,1463.156901442481,43.02491220654115,44.937999850267424,1177.1278007930937
Senegal,0.412747283,Low,FALSE,83.14452248157762,2252.3012359117897,57.625377560850666,25.51914492072696,691.2878915998413,41.98606704827689,41.15845543330074,1114.9410360878967
Russian Federation,0.822523587,High,TRUE,32.76259952025722,2049.0652389844827,14.668053206416516,18.094546313840702,1131.6838837516852,15.475702585869442,17.286896934387777,1081.171217084282
Sierra Leone,0.383229086,Low,FALSE,138.81862457569972,1522.426522698129,61.916015494316724,76.90260908138299,843.3923912445833,41.75652564980547,97.06209892589425,1064.4819036724427
Peru,0.685607664,Middle,FALSE,72.45697791663184,2222.6239337626694,24.54948133807054,47.90749657856131,1469.566514693431,38.25577365555725,34.201204261074594,1049.1248371086328
South Sudan,0.379080534,Low,FALSE,115.84331644119847,1618.4635218809997,62.53069173124841,53.31262470995006,744.8382953761809,41.72436613574497,74.1189503054535,1035.52644239409
Ecuador,0.690996593,Middle,FALSE,107.114979755508,1593.001374930641,24.052506602851867,83.06247315265614,1235.2953269406437,37.597711690455796,69.5172680650522,1033.852630713452
Rwanda,0.462112705,Low-middle,FALSE,96.29081532626705,1704.375717909336,50.75456330555752,45.53625202070953,806.0050376115767,42.37276891788657,53.918046408380484,954.3652605305546
Saudi Arabia,0.828451182,High,FALSE,51.29133203791124,1301.9899858288331,14.35490941424781,36.93642262366343,937.6019389164176,14.863877978907954,36.42745405900328,924.6821735689435
Bolivia (Plurinational State of),0.631803304,Middle,FALSE,120.27488712606792,1373.8033996679048,29.97038213497492,90.30450499109301,1031.475804521478,42.44519325157649,77.82969387449143,888.9860601391877
Argentina,0.764786183,High-middle,TRUE,56.0954795308397,1560.8700867773957,18.161323672349138,37.934155858490556,1055.5269273367612,24.87701940792772,31.218460122911978,868.6610929908718
Viet Nam,0.64302812,Middle,FALSE,52.33018097898775,4108.243286915067,28.77517789351005,23.555003085477697,1849.2136180081927,41.90893647226818,10.421244506719567,818.1322323961001
Papua New Guinea,0.43671418,Low,FALSE,91.21801568521052,1499.5650206784162,54.24353245653672,36.9744832286738,607.8365253934104,42.173367914046494,49.04464777116402,806.26220266547
Azerbaijan,0.705297926,High-middle,FALSE,162.4392257968932,1025.5382681093486,22.77709174044546,139.66213405644774,881.7381539345189,35.640010235724084,126.79921556116912,800.5298429999807
Central African Republic,0.259147219,Low,FALSE,105.0490136742802,1272.3352552982733,81.82563726675428,23.22337640752592,281.2774676968889,40.80527679246661,64.24373688181359,778.1088894397701
Jordan,0.72035157,High-middle,FALSE,101.05973065382175,1157.055740874152,21.503782776581726,79.55594787724002,910.8540624095193,33.266948948087844,67.7927817057339,776.174909184574
Tunisia,0.683722134,Middle,FALSE,131.5436835169203,1076.7343693881612,24.725457912240515,106.8182256046798,874.3472260363076,38.47552563926175,93.06815787765856,761.7977663642715
Kazakhstan,0.727191018,High-middle,TRUE,67.97534805778078,1410.3496032227217,20.948899686423147,47.02644837135763,975.7027318954098,32.09317140883377,35.88217664894701,744.4818606385551
Togo,0.4605221,Low-middle,FALSE,106.57445400315183,1216.8414981697176,50.97025076765519,55.60420323549664,634.8754267848669,42.36025362780764,64.21420037534419,733.1823045154273
Colombia,0.688855489,Middle,TRUE,57.138644978694266,2120.5823645308433,24.248898741509894,32.88974623718437,1220.6347537725885,37.86447588407322,19.274169094621044,715.3208321317251
Libya,0.770482329,High-middle,FALSE,143.50884250934993,830.1307519592591,17.77699164119118,125.73185086815874,727.2992665912823,23.743812706643503,119.76502980270644,692.7840299601489
Lao People's Democratic Republic,0.515008269,Low-middle,FALSE,128.52239998720728,1032.6819314519382,43.79411640430347,84.7282835829038,680.7946906353279,42.791077629970374,85.7313223572369,688.8541418975404
Venezuela (Bolivarian Republic of),0.580213457,Low-middle,TRUE,82.77001565333154,1287.820997506769,35.79666088355489,46.97335476977665,730.8597457468068,43.26216421191271,39.50785144141883,614.7037698498891
Eritrea,0.414533257,Low,FALSE,100.28519265726946,986.2585072404862,57.37029402564828,42.914898631621185,422.04818818515207,41.99999567281218,58.28519698445728,573.2079666892041
Liberia,0.38302106,Low,FALSE,110.15280918215642,841.9608723927721,61.9467674756561,48.206041706500315,368.46632628940813,41.7549124451666,68.39789673698982,522.8042138378382
Cambodia,0.499953382,Low-middle,FALSE,69.75559475104619,1211.5645655688231,45.73311928722484,24.02247546382135,417.2393648579122,42.67160192440663,27.08399282663956,470.41396636338675
United Kingdom,0.880444683,High,TRUE,24.872496660007283,885.96528269866,11.903627151541333,12.96886950846595,461.95475658963073,12.565758249158018,12.306738410849265,438.36946183203685
Germany,0.878636199,High,TRUE,23.323664796954414,921.323182193343,11.980808026931742,11.342856770022673,448.0615283017274,12.567687217202048,10.755977579752367,424.87883347867813
Guatemala,0.553757769,Low-middle,TRUE,64.86133557887761,1104.624255331627,38.9609922319796,25.900343346898012,441.09710703702655,43.10013481411857,21.761200764759046,370.60522999347637
Turkmenistan,0.682174647,Middle,TRUE,98.5028732252545,588.0513720880812,24.87068930557812,73.63218391967638,439.57607901234667,38.65179815440258,59.85107507085193,357.30436751704497
Malaysia,0.770371353,High-middle,FALSE,38.44333229554359,885.4982806996433,17.784388248384325,20.658944047159267,475.8551962715851,23.76570404169033,14.67762825385326,338.0824139701907
Chile,0.788533125,High-middle,TRUE,51.854302922042244,501.7276648066896,16.620052119838544,35.234250802203704,340.91671047588846,20.35877148823118,31.495531433811063,304.7419123903508
